psro_40c,psro
,8.391462004
,8.36914045
,8.503068909
,8.632812347
9.224329634,8.809989197
,9.160156141
,9.270368327
9.741907801,9.331751517
,9.076451396
,8.748605139
,8.517020422
,8.494698868
,
,8.154296682
,8.560267079
,8.698381425
9.467076428,9.075055811
,9.312220266
,9.26897361
,9.196428341
,8.804407724
,8.466796708
,8.468192293
,8.318917603
,7.90876132
8.670480133,8.2798551
8.82533456,8.434709528
,8.736048343
,9.047154519
,9.070870791
,8.929967009
,8.480748222
,8.225446366
,8.240792597
,
,8.184989145
,8.410993256
,8.583984218
,8.81417335
,8.865792649
,8.63560265
,8.367745732
,8.253348525
,8.214286022
,8.011998183
,8.371930753
,8.543526997
,8.613281095
,8.674665153
,8.451451344
,8.366350147
,8.249162638
,8.071985788
,8.310546695
,8.743024534
,8.812779499
,8.876952992
,8.758370765
,8.599329582
,8.295201331
,8.483537657
,8.575614177
,8.404017066
,8.701171728
,8.896484244
,8.847656115
,8.60351547
,8.787667642
,8.8490517
,8.970423363
,9.008092015
,9.005301713
,
,8.402623215
,8.691406102
,8.69698584
,8.782087037
,8.946707958
,8.925781121
,8.902063982
,8.75697518
,
,7.965960357
,
,8.090123189
,8.189173298
,8.436105113
,8.342633875
,8.186383863
,8.116629764
,7.919921663
,8.278459515
,8.095702928
,8.052454537
,8.120813917
,8.284040121
,8.51143895
,8.443079569
,8.120813917
,7.993861649
,7.963169187
,
,8.497489171
,8.683036061
,8.70396203
,8.94252207
,9.090402042
,9.162946443
,9.044364216
,8.805803309
,8.625837024
,8.596540146
,8.529576351
,8.618860833
,8.643973558
,8.727678302
9.542411132,9.052734257
,9.213170157
,9.280133953
,
,9.040178328
,8.801618288
,8.740234231
,8.722098564
,8.286829556
,8.568638854
,8.642577973
9.471261449,8.988560764
,9.284318973
,9.33733299
,9.398717048
,9.135045151
,8.798827986
,8.726282717
,8.430524508
,8.010602598
,8.356584522
,8.402623215
,8.627232609
,8.952287696
,9.189453018
,9.189453018
,8.8490517
,8.625837024
,8.537946392
,
8.758370765,8.323102624
,8.374720188
,8.507254797
9.213170157,8.729073887
,8.955077999
,8.846261397
,8.648157711
,8.583984218
,8.487723545
,8.141740754
,8.364954562
,
,8.549107602
,8.692801687
,8.574218592
,8.51841514
,8.46121697
,8.281249818
,
,
,8.736048343
9.341517143,8.836495771
,8.734654493
,8.688615799
,8.341239158
,8.433313943
,8.561662664
,8.367745732
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,8.334263835
,8.512834535
,8.406808236
,8.539341977
,8.323102624
,8.331473532
,8.346818896
,8.303571372
,8.256138828
8.624442306,8.228235801
8.854631438,8.419364164
,8.437499831
,8.373326338
,8.270089474
8.772321411,8.31194228
,8.272879777
,8.099323763
8.327287644,7.967355074
,7.847377262
,8.93833705
9.478235905,8.913225193
9.351282769,8.861607628
9.284318973,8.801618288
,8.888114203
,8.858817326
9.013671753,8.507254797
,8.420758882
8.630022044,8.200334509
,8.388671702
9.451730197,8.970423363
9.434989248,8.978795138
9.460100238,8.980188988
,8.857421741
9.469865864,8.93833705
,8.900670132
8.984374876,8.525390463
,8.383007489
8.723493282,8.261718566
,7.776227579
,8.613281095
,8.51423012
9.022042662,8.563058249
,8.638392085
9.061105165,8.575614177
,8.419364164
8.895089526,8.39285759
,8.105468553
,8.013392033
8.345423311,7.901785996
,7.981305721
,8.676060738
,8.434709528
,8.561662664
,8.670480133
,8.575614177
8.896484244,8.448661042
,8.359374824
,8.226841951
,8.13414506
,7.954799146
,8.152901965
,8.304966957
,8.380301661
,8.423548317
9.118303335,8.604911055
,8.648157711
8.985770461,8.51423012
8.971818948,8.469587011
,8.258928264
,8.09849323
,7.988281044
,7.818080385
,7.982700438
8.381696379,7.864118211
8.373326338,7.890624786
,8.130579543
,8.193359186
,8.175223519
,8.131975128
,7.773437276
,7.544642862
,7.530692216
,
8.214286022,7.805524456
,7.900390411
,7.998046669
,8.108258856
,8.09151704
8.420758882,7.94503352
,7.666015392
,7.547433165
,7.518136287
,8.049665101
,8.33705327
8.82533456,8.355188937
8.913225193,8.443079569
8.914620778,8.417968579
8.688615799,8.226841951
,8.071985788
,7.972934812
,7.91294634
,8.226841951
,8.406808236
,8.479352637
,8.381696379
,8.334263835
8.638392085,8.178013822
,8.052454537
,8.286829556
,8.339843573
8.701171728,8.233817274
8.837890489,8.345423311
,8.364954562
,8.201730094
8.963448907,8.483537657
8.812779499,8.341239158
8.811383914,8.299386352
8.740234231,8.27567008
,8.196149488
8.451451344,8.056640424
,7.946429105
8.946707958,8.46121697
,8.443079569
8.843470227,8.351004784
8.751395442,8.271484192
8.752790159,8.289620726
8.650948881,8.162667591
,7.915736643
,7.730189752
,7.670200412
,8.929967009
,8.957868301
9.316406154,8.822545125
,8.787667642
9.294084599,8.830915166
9.155970253,8.673270435
,8.376115773
8.656529486,8.179407672
,7.991071346
,8.433313943
9.482421792,8.953683281
,8.946707958
9.432198946,8.934152029
,8.823938975
,8.823938975
,8.726282717
,8.36914045
,8.189173298
8.443079569,8.03013385
,
,8.621652003
,8.613281095
9.082031134,8.595145429
9.084821437,8.616071398
9.015067339,8.515624837
,8.370536035
8.783482622,8.302176655
,8.060826312
,7.894809806
,7.785993204
8.247767053,7.804129738
,8.761161068
9.023437379,8.570032704
,8.581193915
,8.624442306
,8.560267079
,8.444475154
8.76395137,8.292411029
,8.140345169
8.476562334,8.032923285
8.353795086,7.864118211
,7.993861649
,8.491907698
,8.535156089
,8.475167616
,8.585379803
9.167131464,8.677454588
,8.504464494
8.879743295,8.413782691
8.709542636,8.270089474
8.498883888,8.070591938
8.423548317,7.94921854
,7.812499779
,8.269320171
8.530970201,8.129185693
,8.03431887
8.588170106,8.124999805
,8.224051648
,8.172433216
,8.053850122
,7.812499779
,7.601841032
,7.571149437
,
8.557477643,8.144531057
8.564452966,8.115234179
,8.105468553
8.642577973,8.176618237
,8.145926642
,7.967355074
,7.691127249
,7.565569699
,7.547433165
8.823938975,8.388671702
9.094587063,8.618860833
,8.590959541
9.05970958,8.554687341
8.910435757,8.451451344
8.694196405,8.238001427
8.550501453,8.105468553
8.469587011,8.037109173
,7.897600976
,8.554687341
9.175501504,8.692801687
9.129464546,8.630022044
9.012277036,8.537946392
,8.346818896
8.702567313,8.240792597
,8.052454537
8.909040172,8.431920093
8.932756444,8.448661042
8.678850173,8.200334509
,8.24362416
,
,8.129719389
,8.429484895
,8.264629502
,8.226477401
,8.17856515
,8.107129009
,7.968218076
,7.8334829
,8.430817723
,8.373665659
,8.29619161
,8.193596241
,8.213810112
,8.080860446
,7.872692261
,7.68774354
,7.558539315
,8.890123185
,8.89656528
,8.753774942
,8.667404501
,8.713997067
,8.593125035
,8.281218792
,8.097591023
,7.885903718
,8.474979505
,8.946726806
,8.920568969
,8.880795488
,8.7551337
,8.728252522
,8.60043053
,8.252403375
,8.062582002
,7.938402049
,7.468390654
,8.704286995
,8.591170962
,8.584025599
,8.640275783
,8.496206655
,8.340426867
,8.192727021
,7.94069012
,7.813025013
,7.672218557
,7.729296039
,8.789034195
,8.532010432
,8.559744956
,8.615689407
,8.478029792
,
,
,8.06459985
,7.951505986
,
,
,8.548361129
,8.497356668
,8.504650168
,8.557296991
,8.608996883
,8.450002956
,8.353008884
,8.167575297
,7.999352799
,7.878439913
,7.729460208
,8.347257511
,8.06709243
,7.995158516
,8.14513523
,8.188621414
,8.059463031
,7.992547372
,7.728563316
,7.536777182
,7.466476921
,7.575466127
,8.080725255
,8.030188835
,8.056159503
,8.131113142
,8.058840836
,7.890657965
,7.625992372
,7.505397848
,7.438569678
,8.401608649
,8.511378598
,8.457493561
,8.468597307
,8.351123258
,
,8.001043458
,7.89208608
,7.702707175
,8.501185916
,8.580992849
,8.519320777
,8.382573176
,8.234066579
,8.044954097
,7.887862106
,8.411239982
,8.341744137
,8.148261089
8.647821494,8.212950314
,
,
8.672333724,8.219524313
,8.111121356
8.560261492,8.090065462
,
,
,7.987465461
,8.000713655
,8.224425548
8.636208972,8.171354388
,8.101031839
,8.148404356
,
,
,7.903619903
8.185003998,7.766150901
,
,8.731113067
9.259115382,8.754979111
9.235769081,8.751616559
9.198607773,8.715871529
,
,
8.937585407,8.481183679
,8.210649535
,8.075527313
,8.170775106
9.259519094,8.769409899
,8.903436778
9.395044751,8.900055541
,8.79257109
,
,
8.876563953,8.437677623
,
8.496864993,8.074537351
,
,8.458795155
,8.357496826
9.018760955,8.558293049
,8.641272633
,8.604317575
,
,
,7.968784849
,7.911776685
,7.686185342
,7.825517998
,8.544998102
8.7143642,8.303552646
,8.599040182
,8.692542646
9.11800454,8.683745578
,
,
,
,8.024408484
,7.759950528
,7.964953978
,8.238379703
,8.250664301
,8.498738664
9.129550318,8.671494788
,8.801034001
,
,
,
,8.014813611
,7.780678322
,
,7.948396635
,7.751609031
,7.935169501
,8.215101215
,8.341883128
,
,
,
,
,
,
,7.735850482
,7.823661746
8.55645663,8.118304526
,8.336214294
,
,
,
,
,
,7.924211437
,8.285258288
,8.376730395
,8.529753991
8.991106279,8.520394307
,
,
8.298510995,7.886686084
,
,8.127586263
,8.358335168
,
8.803536993,8.370491068
,
,
,
,8.242646194
,8.288032968
,
8.700285107,8.228522129
,8.358791848
,8.245607924
,8.263124706
,8.142817785
,8.035048662
,8.022178052
